store_id,name,phone,address1,address2,address3,city,district,state,state_code,postcode,country,country_code,latitude,longitude,facilities,alcohol_available,opening_hours
G030,858 Fifteenth Street,+61350227415,858 Fifteenth Street,,,Mildura,Mildura,Victoria,VIC,3500,Australia,AU,-34.20643900000000,142.13497600000000,,"Beer, Wine",
G033,58 - 74 Commercial Street East,+61887248526,58 - 74 Commercial Street East,,,Mount Gambier,Mount Gambier,South Australia,SA,5290,Australia,AU,-37.82961400000000,140.78337400000000,,,
G039,10 - 14 Ekblom Street,+61886459219,10 - 14 Ekblom Street,,,Whyalla Norrie,Whyalla Norrie,South Australia,SA,5608,Australia,AU,-33.02833574200000,137.53585579763000,,,
G220,250 Somerton Road,+61393039149,250 Somerton Road,,,Roxburgh Park,Roxburgh Park,Victoria,VIC,3064,Australia,AU,-37.63787307763000,144.93300242712000,,"Beer, Wine",
G221,5 - 25 Westwood Drive,+61394495266,5 - 25 Westwood Drive,,,Burnside,Burnside,Victoria,VIC,3023,Australia,AU,-37.76004300000000,144.75521800000000,,"Beer, Wine",
G222,112 - 126 Gap Road,+61397463028,112 - 126 Gap Road,,,Sunbury,Sunbury,Victoria,VIC,3429,Australia,AU,-37.57818496307000,144.71241141235000,,"Beer, Wine",
G223,394 - 406 High Street,+61397468704,394 - 406 High Street,,,Melton,Melton,Victoria,VIC,3337,Australia,AU,-37.68297932023000,144.57888190324000,,"Beer, Wine",
G224,14 - 16 Hall Street,+61393260977,14 - 16 Hall Street,,,Moonee Ponds,Moonee Ponds,Victoria,VIC,3039,Australia,AU,-37.76585000000000,144.92335000000000,,"Beer, Wine",
G226,"Cnr Cramer Street, Mary Street",+61394704972,"Cnr Cramer Street, Mary Street",,,Preston,Preston,Victoria,VIC,3072,Australia,AU,-37.74024000000000,145.00222000000000,,"Beer, Wine",
G227,533 High Street,+61397430244,533 High Street,,,Melton West,Melton West,Victoria,VIC,3337,Australia,AU,-37.68689488230000,144.56051825713000,,"Beer, Wine",
G231,149-151 High Street,+61352442744,149-151 High Street,,,Belmont,Belmont,Victoria,VIC,3216,Australia,AU,-38.17361000000000,144.34389000000000,,"Beer, Wine",
G232,158 - 196 Main Street,+61353678805,158 - 196 Main Street,,,Bacchus Marsh,Bacchus Marsh,Victoria,VIC,3340,Australia,AU,-37.67483389194000,144.43922187392000,,"Beer, Wine",
G235,77 - 83 Synott Street,+61387423611,77 - 83 Synott Street,,,Werribee,Werribee,Victoria,VIC,3030,Australia,AU,-37.90445000000000,144.65778000000000,,"Beer, Wine",
G238,302 - 330 Millers Road,+61393911322,302 - 330 Millers Road,,,Altona North,Altona North,Victoria,VIC,3025,Australia,AU,-37.84469500000000,144.84490900000000,,"Beer, Wine",
G239,13 - 17 High Street,+61357834000,13 - 17 High Street,,,Wallan,Wallan,Victoria,VIC,3756,Australia,AU,-37.41818200000000,144.97796900000000,,"Beer, Wine",
G241,"Cnr High Street, Lockwood Road",+61354473322,"Cnr High Street, Lockwood Road",,,Kangaroo Flat,Kangaroo Flat,Victoria,VIC,3555,Australia,AU,-36.79727408730000,144.24328734899000,,"Beer, Wine",
G242,182 - 192 Midland Highway,+61354484557,182 - 192 Midland Highway,,,Epsom,Epsom,Victoria,VIC,3551,Australia,AU,-36.70466500000000,144.31743200000000,,"Beer, Wine",
G244,21 Learmonth Road,+61353382842,21 Learmonth Road,,,Wendouree,Wendouree,Victoria,VIC,3355,Australia,AU,-37.53504800000000,143.81810800000000,,"Beer, Wine",
G248,428 Wyndham Street,+61358224837,428 Wyndham Street,,,Shepparton,Shepparton,Victoria,VIC,3630,Australia,AU,-36.38345000000000,145.39847000000000,,"Beer, Wine",
G251,102 -114 Creswick Road,+61353344560,102 -114 Creswick Road,,,Ballarat,Ballarat,Victoria,VIC,3350,Australia,AU,-37.55593362568000,143.85530464299000,,"Beer, Wine",
G255,"Cnr Sydney Road, Mahoneys Road",+61393573733,"Cnr Sydney Road, Mahoneys Road",,,Campbellfield,Campbellfield,Victoria,VIC,3061,Australia,AU,-37.68745715614000,144.95977667134000,,"Beer, Wine",
G256,9 / 222 Anakie Road,+61352721501,9 / 222 Anakie Road,,,Bell Park,Bell Park,Victoria,VIC,3215,Australia,AU,-38.09696300000000,144.33443800000000,,"Beer, Wine",
G260,104 - 108 French Street,+61355721644,104 - 108 French Street,,,Hamilton,Hamilton,Victoria,VIC,3300,Australia,AU,-37.74434000000000,142.02776000000000,,"Beer, Wine",
G262,465 Princes Highway,+61352752080,465 Princes Highway,,,Corio,Corio,Victoria,VIC,3214,Australia,AU,-38.06512000000000,144.38039000000000,,"Beer, Wine",
G264,8 - 34 Gladstone Park Drive,+61393387254,8 - 34 Gladstone Park Drive,,,Gladstone Park,Gladstone Park,Victoria,VIC,3043,Australia,AU,-37.68757392665000,144.88387580330000,,"Beer, Wine",
G266,14 - 18 Winki Way,+61342412389,14 - 18 Winki Way,,,Torquay,Torquay,Victoria,VIC,3228,Australia,AU,-38.31048512357000,144.31807696441000,,"Beer, Wine",
G267,31 - 35 Albert Street,+61353364322,31 - 35 Albert Street,,,Sebastopol,Sebastopol,Victoria,VIC,3356,Australia,AU,-37.58491000000000,143.84122000000000,,"Beer, Wine",
G271,347 - 371 Dalton Road,+61384053512,347 - 371 Dalton Road,,,Epping,Epping,Victoria,VIC,3076,Australia,AU,-37.65926000000000,145.02974000000000,,"Beer, Wine",
G272,141 - 153 Bridge Street,+61357622133,141 - 153 Bridge Street,,,Benalla,Benalla,Victoria,VIC,3672,Australia,AU,-36.54987000000000,145.98915600000000,,"Beer, Wine",
G273,1009 - 101 Sydney Road,+61393830681,1009 - 101 Sydney Road,,,Coburg North,Coburg North,Victoria,VIC,3058,Australia,AU,-37.72332593185000,144.96244064271000,,"Beer, Wine",
G274,12 - 22 Coastal Boulevard,+61352552156,12 - 22 Coastal Boulevard,,,Ocean Grove,Ocean Grove,Victoria,VIC,3226,Australia,AU,-38.24733974770000,144.54023921683000,,"Beer, Wine",
G276,13 - 15 Chisholm Street,+61357229722,13 - 15 Chisholm Street,,,Wangaratta,Wangaratta,Victoria,VIC,3677,Australia,AU,-36.35665000000000,146.32803000000000,,"Beer, Wine",
G278,1611 - 161 Sturt Street,+61353341617,1611 - 161 Sturt Street,,,Alfredton,Alfredton,Victoria,VIC,3350,Australia,AU,-37.55557000000000,143.81747000000000,,"Beer, Wine",
G279,324 - 328 Hampshire Road,+61393127030,324 - 328 Hampshire Road,,,Sunshine,Sunshine,Victoria,VIC,3020,Australia,AU,-37.78288999330000,144.83393502476000,,"Beer, Wine",
G280,111 Burke Street,+61354604300,111 Burke Street,,,Maryborough,Maryborough,Victoria,VIC,3465,Australia,AU,-37.04723000000000,143.74258000000000,,"Beer, Wine",
G283,90 - 92 Edwards Road,+61354411435,90 - 92 Edwards Road,,,Strathdale,Strathdale,Victoria,VIC,3550,Australia,AU,-36.77208000000000,144.30573000000000,,"Beer, Wine",
G284,247 Johnston Street,+61394161779,247 Johnston Street,,,Fitzroy,Fitzroy,Victoria,VIC,3065,Australia,AU,-37.79873600000000,144.98353700000000,,"Beer, Wine",
G287,45 Aitken Street,+61354207542,45 Aitken Street,,,Gisborne,Gisborne,Victoria,VIC,3437,Australia,AU,-37.48840400000000,144.59149300000000,,"Beer, Wine",
G288,209 Greens Road,+61387426584,209 Greens Road,,,Wyndham Vale,Wyndham Vale,Victoria,VIC,3024,Australia,AU,-37.88738600000000,144.60735800000000,,"Beer, Wine",
G292,"Cnr Milleara Road, Buckley Str",+61393254811,"Cnr Milleara Road, Buckley Str",,,Keilor East,Keilor East,Victoria,VIC,3033,Australia,AU,-37.74965113882000,144.86044495207000,,"Beer, Wine",
G293,100 Market Street,+61396450097,100 Market Street,,,South Melbourne,South Melbourne,Victoria,VIC,3205,Australia,AU,-37.82976919183000,144.95726734607000,,"Beer, Wine",
G294,97 - 101 McLennan Street,+61358253729,97 - 101 McLennan Street,,,Mooroopna,Mooroopna,Victoria,VIC,3629,Australia,AU,-36.39538000000000,145.35804000000000,,"Beer, Wine",
G296,32 - 34 Tallarook Street,+61357990811,32 - 34 Tallarook Street,,,Seymour,Seymour,Victoria,VIC,3660,Australia,AU,-37.02280000000000,145.13275000000000,,"Beer, Wine",
G297,12 - 22 Murradoc Road,+61352515510,12 - 22 Murradoc Road,,,Drysdale,Drysdale,Victoria,VIC,3222,Australia,AU,-38.17326000000000,144.57303000000000,,"Beer, Wine",
G298,117 - 127 Albert Street,+61352210744,117 - 127 Albert Street,,,Geelong West,Geelong West,Victoria,VIC,3218,Australia,AU,-38.13966000000000,144.33726000000000,,"Beer, Wine",
G299,300 Point Cook Road,+61383531466,300 Point Cook Road,,,Point Cook,Point Cook,Victoria,VIC,3030,Australia,AU,-37.89524663499000,144.75225875194000,,"Beer, Wine",
G300,4 - 8 Peg Leg Road,+61354462387,4 - 8 Peg Leg Road,,,Eaglehawk,Eaglehawk,Victoria,VIC,3556,Australia,AU,-36.71736400000000,144.24999400000000,,"Beer, Wine",
G230,67 Ashley Street,+61396896173,67 Ashley Street,,,West Footscray,West Footscray,Victoria,VIC,3012,Australia,AU,-37.79293760189000,144.86073451910000,,"Beer, Wine",
G234,29 - 35 Louis Street,+61393384022,29 - 35 Louis Street,,,Airport West,Airport West,Victoria,VIC,3042,Australia,AU,-37.71520988150000,144.88432468278000,,"Beer, Wine",
G246,380 Sayers Road,+61397496403,380 Sayers Road,,,Tarneit,Tarneit,Victoria,VIC,3029,Australia,AU,-37.84929000000000,144.70487000000000,,"Beer, Wine",
G582,35-43 Central Boulevard,+61342418300,35-43 Central Boulevard,,,Armstrong Creek,Armstrong Creek,Victoria,VIC,3217,Australia,AU,-38.23144231529000,144.37067935185000,,"Beer, Wine",
G590,177 Hummingbird Boulevard,+61392188900,177 Hummingbird Boulevard,,,Tarneit,Tarneit,Victoria,VIC,3029,Australia,AU,-37.83503749314000,144.65197717440000,,"Beer, Wine",
G627,33 Prosperity Street,,33 Prosperity Street,,,Truganina,Truganina,Victoria,VIC,3029,Australia,AU,-37.83800000000000,144.73996000000000,,"Beer, Wine",
G619,10 Riley Road,+61383396398,10 Riley Road,,,Craigieburn,Craigieburn,Victoria,VIC,3064,Australia,AU,-37.58746000000000,144.94191000000000,,"Beer, Wine",
G286,"Cnr Neale Road, Station Road",+61383905026,"Cnr Neale Road, Station Road",,,Deer Park,Deer Park,Victoria,VIC,3023,Australia,AU,-37.75050000000000,144.77444000000000,,"Beer, Wine",
G229,11 Edgewater Boulevard,+61393188675,11 Edgewater Boulevard,,,Maribyrnong,Maribyrnong,Victoria,VIC,3032,Australia,AU,-37.78449000000000,144.89247000000000,,"Beer, Wine",
G233,251 - 257 Lava Street,+61355628086,251 - 257 Lava Street,,,Warrnambool,Warrnambool,Victoria,VIC,3280,Australia,AU,-38.37901000000000,142.47857000000000,,"Wine, Beer",
G243,72 Elgin Boulevard,+61260245411,72 Elgin Boulevard,,,Wodonga,Wodonga,Victoria,VIC,3690,Australia,AU,-36.11904001142000,146.88166077120000,,"Beer, Wine",
G247,"Cnr Victoria Cross Parade, War",+61260261474,"Cnr Victoria Cross Parade, War",,,Wodonga,Wodonga,Victoria,VIC,3689,Australia,AU,-36.13845007689000,146.89513629617000,,"Beer, Wine",
G250,154 Raglan Parade,+61355615144,154 Raglan Parade,,,Warrnambool,Warrnambool,Victoria,VIC,3280,Australia,AU,-38.38025795544000,142.52077861722000,,"Beer, Wine",
G259,"Cnr High Street, Seperation St",+61394896322,"Cnr High Street, Seperation St",,,Northcote,Northcote,Victoria,VIC,3070,Australia,AU,-37.76871000000000,144.99925000000000,,"Beer, Wine",
G261,"Cnr Campbell Street, Rutherfor",+61350325005,"Cnr Campbell Street, Rutherfor",,,Swan Hill,Swan Hill,Victoria,VIC,3585,Australia,AU,-35.34265000000000,143.56102000000000,,"Beer, Wine",
G265,67 - 73 Hamilton Street,+61353827800,67 - 73 Hamilton Street,,,Horsham,Horsham,Victoria,VIC,3400,Australia,AU,-36.71820000000000,142.19807000000000,,"Beer, Wine",
G269,400 McDonalds Road,+61394366466,400 McDonalds Road,,,Mill Park,Mill Park,Victoria,VIC,3082,Australia,AU,-37.65076000000000,145.06844000000000,,"Beer, Wine",
G282,571 - 583 High Street,+61384014960,571 - 583 High Street,,,Epping,Epping,Victoria,VIC,3076,Australia,AU,-37.65519434172000,145.01618804241000,,"Beer, Wine",
G291,29 Henty Street,+61355218088,29 Henty Street,,,Portland,Portland,Victoria,VIC,3305,Australia,AU,-38.34664000000000,141.60267000000000,,"Beer, Wine",
G301,399 Melton Highway,+61383583622,399 Melton Highway,,,Taylors Lakes,Taylors Lakes,Victoria,VIC,3038,Australia,AU,-37.69937132430000,144.77876588490000,,"Beer, Wine",
G254,"Harvest Home Road, Edgars Road",+61394081578,"Harvest Home Road, Edgars Road",,,Epping,Epping,Victoria,VIC,3076,Australia,AU,-37.62172661031000,145.00642735500000,,"Beer, Wine",
G228,340 Craigieburn Road,+61392190927,340 Craigieburn Road,,,Craigieburn,Craigieburn,Victoria,VIC,3064,Australia,AU,-37.59461000000000,144.91269000000000,,"Beer, Wine",
G451,106 -112 Barton Street,+61249372788,106 -112 Barton Street,,,Kurri Kurri,Kurri Kurri,New South Wales,NSW,2327,Australia,AU,-32.81873000000000,151.48282000000000,,"Beer, Wine",
G452,1 Town Terrace,+61247372436,1 Town Terrace,,,Glenmore Park,Glenmore Park,New South Wales,NSW,2745,Australia,AU,-33.78734700000000,150.66859400000000,,"Beer, Wine",
G453,80 - 98 Borrowdale Way,+61247291078,80 - 98 Borrowdale Way,,,Cranebrook,Cranebrook,New South Wales,NSW,2749,Australia,AU,-33.71943500000000,150.70972500000000,,"Beer, Wine",
G439,125-131 Fitzroy Street,+61263425405,125-131 Fitzroy Street,,,Cowra,Cowra,New South Wales,NSW,2794,Australia,AU,-33.83685000000000,148.69586000000000,,"Beer, Wine",
G440,31 Rutherford Road,+61265412011,31 Rutherford Road,,,Muswellbrook,Muswellbrook,New South Wales,NSW,2333,Australia,AU,-32.28300000000000,150.89754000000000,,"Beer, Wine",
G442,5 Curtis Road,+61245772437,5 Curtis Road,,,McGraths Hill,McGraths Hill,New South Wales,NSW,2756,Australia,AU,-33.62350000000000,150.83673000000000,,"Beer, Wine",
G443,180-188 Swallow Drive,+61296702920,180-188 Swallow Drive,,,Erskine Park,Erskine Park,New South Wales,NSW,2759,Australia,AU,-33.80379773384000,150.80498211457000,,"Beer, Wine",
G444,54 Union Street,+61249297375,54 Union Street,,,Newcastle,Newcastle,New South Wales,NSW,2302,Australia,AU,-32.93042000000000,151.76567000000000,,"Beer, Wine",
G445,405 / MM01 High Street,+61249363500,405 / MM01 High Street,,,Maitland,Maitland,New South Wales,NSW,2320,Australia,AU,-32.73391800000000,151.55629200000000,,"Beer, Wine",
G446,57 Thomas Street,+61249508731,57 Thomas Street,,,Edgeworth,Edgeworth,New South Wales,NSW,2285,Australia,AU,-32.92492205324000,151.62619705376000,,"Beer, Wine",
G448,98-106 High Street,+61265514428,98-106 High Street,,,Taree,Taree,New South Wales,NSW,2430,Australia,AU,-31.91104900000000,152.45275200000000,,,
G449,10 Hezlett Road,+61298360558,10 Hezlett Road,,,North Kellyville,North Kellyville,New South Wales,NSW,2155,Australia,AU,-33.69954900000000,150.95739100000000,,"Beer, Wine",
G401,11 Swan Street,+61249400378,11 Swan Street,,,Hamilton,Hamilton,New South Wales,NSW,2303,Australia,AU,-32.91892000000000,151.74573000000000,,"Beer, Wine",
G402,30 Northcott Drive,+61249574291,30 Northcott Drive,,,Kotara,Kotara,New South Wales,NSW,2289,Australia,AU,-32.94067000000000,151.71216000000000,,"Beer, Wine",
G403,2 Valley Drive,+61263513155,2 Valley Drive,,,Lithgow,Lithgow,New South Wales,NSW,2790,Australia,AU,-33.48833000000000,150.15250000000000,,"Beer, Wine",
G404,128 Windsor Street,+61245780444,128 Windsor Street,,,Richmond,Richmond,New South Wales,NSW,2753,Australia,AU,-33.59911000000000,150.75463000000000,,"Beer, Wine",
G405,489 Pacific Highway,+61243296241,489 Pacific Highway,,,Wyoming,Wyoming,New South Wales,NSW,2250,Australia,AU,-33.40917000000000,151.34944000000000,,"Beer, Wine",
G406,16 Zoe Place,+61296771465,16 Zoe Place,,,Mount Druitt,Mount Druitt,New South Wales,NSW,2770,Australia,AU,-33.76584000000000,150.82729000000000,,,
G408,1 Pyramid Street,+61247357608,1 Pyramid Street,,,Emu Plains,Emu Plains,New South Wales,NSW,2750,Australia,AU,-33.75290000000000,150.65966000000000,,"Beer, Wine",
G409,373-383 Windsor Road,+61296866244,373-383 Windsor Road,,,Baulkham Hills,Baulkham Hills,New South Wales,NSW,2153,Australia,AU,-33.75941000000000,150.99205000000000,,"Beer, Wine",
G410,230 Maitland Road,+61249688146,230 Maitland Road,,,Mayfield,Mayfield,New South Wales,NSW,2304,Australia,AU,-32.89899000000000,151.73794000000000,,"Beer, Wine",
G411,17 John Street,+61265723600,17 John Street,,,Singleton,Singleton,New South Wales,NSW,2330,Australia,AU,-32.56924000000000,151.16479000000000,,"Beer, Wine",
G412,6 - 14 / S Castle Street,+61298991900,6 - 14 / S Castle Street,,,Castle Hill,Castle Hill,New South Wales,NSW,2154,Australia,AU,-33.72924167617000,151.00675791944000,,"Beer, Wine",
G413,176 Talbragar Street,+61268852047,176 Talbragar Street,,,Dubbo,Dubbo,New South Wales,NSW,2830,Australia,AU,-32.24582000000000,148.61237000000000,,"Beer, Wine",
G414,201 - 205 High Street,+61247229222,201 - 205 High Street,,,Penrith,Penrith,New South Wales,NSW,2750,Australia,AU,-33.75554000000000,150.70562000000000,,"Beer, Wine",
G415,185 Conadilly Street,+61267427036,185 Conadilly Street,,,Gunnedah,Gunnedah,New South Wales,NSW,2380,Australia,AU,-30.97737000000000,150.25244000000000,,,
G416,19 Roper Road,+61243908421,19 Roper Road,,,Blue Haven,Blue Haven,New South Wales,NSW,2262,Australia,AU,-33.20630335960000,151.49838501010000,,"Beer, Wine",
G418,3 Resolution Place,+61288834244,3 Resolution Place,,,Rouse Hill,Rouse Hill,New South Wales,NSW,2155,Australia,AU,-33.68367000000000,150.91823000000000,,"Beer, Wine",
G419,1 Britannia Boulevard,+61249511361,1 Britannia Boulevard,,,Fletcher,Fletcher,New South Wales,NSW,2287,Australia,AU,-32.87636000000000,151.63920000000000,,"Beer, Wine",
G421,12 / M01 Bay Village Road,+61243347900,12 / M01 Bay Village Road,,,Bateau Bay,Bateau Bay,New South Wales,NSW,2261,Australia,AU,-33.37581000000000,151.47246000000000,,"Beer, Wine",
G422,224 Prospect Highway,+61296766444,224 Prospect Highway,,,Seven Hills,Seven Hills,New South Wales,NSW,2147,Australia,AU,-33.77547000000000,150.93316000000000,,"Beer, Wine",
G423,328 - 336 North Rocks Road,+61298726114,328 - 336 North Rocks Road,,,North Rocks,North Rocks,New South Wales,NSW,2151,Australia,AU,-33.76881000000000,151.02882000000000,,"Beer, Wine",
G424,3 - 17 Breese Parade,+61265554446,3 - 17 Breese Parade,,,Forster,Forster,New South Wales,NSW,2428,Australia,AU,-32.20046000000000,152.51935000000000,,,
G249,385 - 387 Wagga Road,+61260255229,385 - 387 Wagga Road,,,Lavington,Lavington,New South Wales,NSW,2641,Australia,AU,-36.04686400000000,146.93938800000000,,"Beer, Wine",
G285,617 - 621 Young Street,+61260411300,617 - 621 Young Street,,,Albury,Albury,New South Wales,NSW,2640,Australia,AU,-36.07586200000000,146.92474900000000,,"Beer, Wine",
G382,11 Caledonia Street,+61268621237,11 Caledonia Street,,,Parkes,Parkes,New South Wales,NSW,2870,Australia,AU,-33.14084000000000,148.17553000000000,,"Beer, Wine",
G383,201-205 Katoomba Street,+61247822337,201-205 Katoomba Street,,,Katoomba,Katoomba,New South Wales,NSW,2780,Australia,AU,-33.71745000000000,150.31063000000000,,"Beer, Wine",
G384,85 Bali Drive,+61298375855,85 Bali Drive,,,Quakers Hill,Quakers Hill,New South Wales,NSW,2763,Australia,AU,-33.71828000000000,150.89196000000000,,"Beer, Wine",
G385,17 Patrick Street,+61296225276,17 Patrick Street,,,Blacktown,Blacktown,New South Wales,NSW,2148,Australia,AU,-33.77114800000000,150.90660300000000,,"Beer, Wine",
G386,"Cnr Holbeche Road, Walters Roa",+61296724477,"Cnr Holbeche Road, Walters Roa",,,Arndell Park,Arndell Park,New South Wales,NSW,2148,Australia,AU,-33.78961000000000,150.89029000000000,,"Beer, Wine",
G387,585 High Street,+61247323913,585 High Street,,,Penrith,Penrith,New South Wales,NSW,2750,Australia,AU,-33.75008000000000,150.69130000000000,,"Beer, Wine",
G426,620 - 658 Terrigal Drive,+61243676522,620 - 658 Terrigal Drive,,,Erina,Erina,New South Wales,NSW,2250,Australia,AU,-33.43932000000000,151.39398000000000,,"Beer, Wine",
G427,43 Lakehaven Drive,+61243932382,43 Lakehaven Drive,,,Lakehaven,Lakehaven,New South Wales,NSW,2263,Australia,AU,-33.24042000000000,151.50380000000000,,,
G428,47 - 55 Bells Line of Road,+61245714100,47 - 55 Bells Line of Road,,,North Richmond,North Richmond,New South Wales,NSW,2754,Australia,AU,-33.58069500000000,150.71989000000000,,"Beer, Wine",
G429,3 Hillview Street,+61249326822,3 Hillview Street,,,Rutherford,Rutherford,New South Wales,NSW,2320,Australia,AU,-32.71707000000000,151.52727000000000,,"Beer, Wine",
G430,10 Hollinsworth Road,+61296277538,10 Hollinsworth Road,,,Marsden Park,Marsden Park,New South Wales,NSW,2765,Australia,AU,-33.72085900000000,150.84140300000000,,"Beer, Wine",
G431,146 - 148 Pacific Highway,+61243511629,146 - 148 Pacific Highway,,,Wyong,Wyong,New South Wales,NSW,2259,Australia,AU,-33.28073400000000,151.42611900000000,,"Beer, Wine",
G432,203 Avoca Drive,+61243690911,203 Avoca Drive,,,Green Point,Green Point,New South Wales,NSW,2251,Australia,AU,-33.45129000000000,151.36135000000000,,"Beer, Wine",
G433,22 - 32 Port Stephens Road,+61249872456,22 - 32 Port Stephens Road,,,Raymond Terrace,Raymond Terrace,New South Wales,NSW,2324,Australia,AU,-32.75851000000000,151.74619000000000,,"Beer, Wine",
G434,53 - 59 Brisbane Water Drive,+61243220337,53 - 59 Brisbane Water Drive,,,Point Clare,Point Clare,New South Wales,NSW,2250,Australia,AU,-33.44282000000000,151.32910000000000,,"Beer, Wine",
G436,97 - 99 Church Street,+61263720322,97 - 99 Church Street,,,Mudgee,Mudgee,New South Wales,NSW,2850,Australia,AU,-32.59709000000000,149.58746000000000,,"Beer, Wine",
G438,49 Harrison Street,+61249544019,49 Harrison Street,,,Cardiff,Cardiff,New South Wales,NSW,2285,Australia,AU,-32.94095000000000,151.65968000000000,,"Beer, Wine",
G388,32 Kokera Street,+61249500739,32 Kokera Street,,,Wallsend,Wallsend,New South Wales,NSW,2287,Australia,AU,-32.90368000000000,151.66737000000000,,"Beer, Wine",
G389,92 Wrights Road,+61288831059,92 Wrights Road,,,Kellyville,Kellyville,New South Wales,NSW,2155,Australia,AU,-33.71411000000000,150.97350000000000,,"Beer, Wine",
G390,310 Trafalgar Ave,+61243410385,310 Trafalgar Ave,,,Umina Beach,Umina Beach,New South Wales,NSW,2257,Australia,AU,-33.52271000000000,151.32079000000000,,"Beer, Wine",
G391,128 Russell Street,+61263329072,128 Russell Street,,,Bathurst,Bathurst,New South Wales,NSW,2795,Australia,AU,-33.42055000000000,149.58056000000000,,"Beer, Wine",
G392,165 - 167 Wollombi Road,+61249908324,165 - 167 Wollombi Road,,,Cessnock,Cessnock,New South Wales,NSW,2325,Australia,AU,-32.83418000000000,151.35223000000000,,"Beer, Wine",
G393,192 Caroline Chisholm Drive,+61296208212,192 Caroline Chisholm Drive,,,Winston Hills,Winston Hills,New South Wales,NSW,2153,Australia,AU,-33.77316000000000,150.96900000000000,,"Beer, Wine",
G394,3 Hughes Place,+61265831229,3 Hughes Place,,,Port Macquarie,Port Macquarie,New South Wales,NSW,2444,Australia,AU,-31.42715000000000,152.87952000000000,,"Beer, Wine",
G395,167 - 177 Peisley Street,+61263604487,167 - 177 Peisley Street,,,Orange,Orange,New South Wales,NSW,2800,Australia,AU,-33.28580000000000,149.10267000000000,,"Beer, Wine",
G397,15 - 33 Belgrave Street,+61265621922,15 - 33 Belgrave Street,,,Kempsey,Kempsey,New South Wales,NSW,2440,Australia,AU,-31.07984600000000,152.84007200000000,,,
G398,410 - 422 Great Western Highwa,+61298333524,410 - 422 Great Western Highwa,,,St Marys,St Marys,New South Wales,NSW,2760,Australia,AU,-33.76973000000000,150.77037000000000,,"Beer, Wine",
G400,2 Sentry Drive,+61288249088,2 Sentry Drive,,,Stanhope Gardens,Stanhope Gardens,New South Wales,NSW,2768,Australia,AU,-33.71793000000000,150.92102000000000,,"Beer, Wine",
G584,194-196 Peel Street,+61267552100,194-196 Peel Street,,,Tamworth,Tamworth,New South Wales,NSW,2340,Australia,AU,-31.08508000000000,150.92624000000000,,"Beer, Wine",
G591,3 Central Ave,+61249192700,3 Central Ave,,,Salamander Bay,Salamander Bay,New South Wales,NSW,2317,Australia,AU,-32.73518600000000,152.10846200000000,,"Beer, Wine",
G592,745 Windsor Road,+61296775700,745 Windsor Road,,,Box Hill,Box Hill,New South Wales,NSW,2765,Australia,AU,-33.65888500000000,150.88020600000000,,"Beer, Wine",
G425,18 - 20 Garnett Road,+61249331414,18 - 20 Garnett Road,,,East Maitland,East Maitland,New South Wales,NSW,2323,Australia,AU,-32.76011000000000,151.58838000000000,,"Beer, Wine",
