store_no,name,division,address_line1,address_line2,suburb,state,postcode,latitude,longitude,phone,is_open,distance,gmt_zone,trading_hours
1550,Sydney Metcentre (Metro),SUPERMARKETS,60 Margaret Street,,Sydney,NSW,2000,-33.864935,151.206521,(02) 8565 9236,False,0.32,11:0,Today: Mon: 0600-2000 | Tomorrow: Tue: 0600-2000 | Wednesday: Wed: 0600-2000 | Thursday: Thu: 0600-2000 | Friday: Fri: 0600-2000 | Saturday: Sat: Closed | Sunday: Sun: Closed | Monday: Mon: 0600-2000
1905,Central Park (Metro),SUPERMARKETS,26-60 Broadway,,Chippendale,NSW,2008,-33.8845605,151.2006821,(02) 8736 7450,False,2.34,11:0,Today: Mon: 0700-2300 | Tomorrow: Tue: 0700-2300 | Wednesday: Wed: 0700-2300 | Thursday: Thu: 0700-2300 | Friday: Fri: 0700-2300 | Saturday: Sat: 0700-2300 | Sunday: Sun: 0700-2300 | Monday: Mon: 0700-2300
1329,Paddington (Metro),SUPERMARKETS,220 Glenmore Rd,,Paddington,NSW,2021,-33.88215088,151.2278366,(02) 8565 9369,False,2.52,11:0,Today: Mon: 0700-2200 | Tomorrow: Tue: 0700-2200 | Wednesday: Wed: 0700-2200 | Thursday: Thu: 0700-2200 | Friday: Fri: 0700-2200 | Saturday: Sat: 0700-2200 | Sunday: Sun: 0700-2200 | Monday: Mon: 0700-2200
8952,Balmain,SUPERMARKETS,276 Darling St,,Balmain,NSW,2041,-33.857672,151.181298,(02) 8565 9203,False,2.77,11:0,Today: Mon: 0700-2200 | Tomorrow: Tue: 0700-2200 | Wednesday: Wed: 0700-2200 | Thursday: Thu: 0700-2200 | Friday: Fri: 0700-2200 | Saturday: Sat: 0700-2200 | Sunday: Sun: 0700-2200 | Monday: Mon: 0700-2200
1816,North Sydney Metro,SUPERMARKETS,100 Miller St,,North Sydney,NSW,2060,-33.837855,151.206647,(02) 9305 1097,False,3.03,11:0,Today: Mon: 0700-2200 | Tomorrow: Tue: 0700-2200 | Wednesday: Wed: 0700-2200 | Thursday: Thu: 0700-2200 | Friday: Fri: 0700-2200 | Saturday: Sat: 0900-1900 | Sunday: Sun: 0900-1900 | Monday: Mon: 0700-2200
91834,Surry Hills,EG,475-489 Cleveland St,,Surry Hills,NSW,2016,-33.8922,151.2161,02 8870 7670,True,3.08,11:0,Today: Mon: 24 Hours | Tomorrow: Tue: 24 Hours | Wednesday: Wed: 24 Hours | Thursday: Thu: 24 Hours | Friday: Fri: 24 Hours | Saturday: Sat: 24 Hours | Sunday: Sun: 24 Hours | Monday: Mon: 24 Hours
1018,Redfern Station (Metro),SUPERMARKETS,1 Lawson Square,,Redfern,NSW,2016,-33.89274,151.19944,(02) 9305 1031,False,3.23,11:0,Today: Mon: 0700-2300 | Tomorrow: Tue: 0700-2300 | Wednesday: Wed: 0700-2300 | Thursday: Thu: 0700-2300 | Friday: Fri: 0700-2300 | Saturday: Sat: 0700-2300 | Sunday: Sun: 0700-2300 | Monday: Mon: 0700-2300
1474,Redfern,SUPERMARKETS,261-265 Chalmers Street,,Redfern,NSW,2016,-33.894652,151.205006,(02) 8565 9278,False,3.33,11:0,Today: Mon: 0700-2200 | Tomorrow: Tue: 0700-2200 | Wednesday: Wed: 0700-2200 | Thursday: Thu: 0700-2200 | Friday: Fri: 0700-2200 | Saturday: Sat: 0700-2200 | Sunday: Sun: 0700-2200 | Monday: Mon: 0700-2200
1416,Double Bay,SUPERMARKETS,Kiaora Lane and Kiaora Road,,Double Bay,NSW,2028,-33.87813873,151.2444126,(02) 8736 7472,False,3.5,11:0,Today: Mon: 0600-2300 | Tomorrow: Tue: 0600-2300 | Wednesday: Wed: 0600-2300 | Thursday: Thu: 0600-2300 | Friday: Fri: 0600-2300 | Saturday: Sat: 0600-2300 | Sunday: Sun: 0700-2300 | Monday: Mon: 0600-2300
1577,Rozelle Metro,SUPERMARKETS,605 Darling St,,Rozelle,NSW,2039,-33.86113,151.171249,(02) 8736 7475,False,3.6,11:0,Today: Mon: 0700-2200 | Tomorrow: Tue: 0700-2200 | Wednesday: Wed: 0700-2200 | Thursday: Thu: 0700-2200 | Friday: Fri: 0700-2200 | Saturday: Sat: 0700-2200 | Sunday: Sun: 0700-2200 | Monday: Mon: 0700-2200
22440,U-Go Rozelle,AMPOL,121-Victoria Rd Cnr Wellington St,,Rozelle,NSW,2039,-33.862558,151.168495,,True,3.84,11:0,Today: Mon: 24 Hours | Tomorrow: Tue: 24 Hours | Wednesday: Wed: 24 Hours | Thursday: Thu: 24 Hours | Friday: Fri: 24 Hours | Saturday: Sat: 24 Hours | Sunday: Sun: 24 Hours | Monday: Mon: 24 Hours
1113,Neutral Bay Village,SUPERMARKETS,1-7 Rangers Road,,Neutral Bay,NSW,2089,-33.831999,151.223851,(02) 9308 7367,False,3.89,11:0,Today: Mon: 0600-2300 | Tomorrow: Tue: 0600-2300 | Wednesday: Wed: 0600-2300 | Thursday: Thu: 0600-2300 | Friday: Fri: 0600-2300 | Saturday: Sat: 0600-2300 | Sunday: Sun: 0600-2300 | Monday: Mon: 0600-2300
22447,Ampol Foodary Neutral Bay,AMPOL,16-38-Military Rd,,Neutral Bay,NSW,2089,-33.829054,151.21632,,True,4.04,11:0,Today: Mon: 24 Hours | Tomorrow: Tue: 24 Hours | Wednesday: Wed: 24 Hours | Thursday: Thu: 24 Hours | Friday: Fri: 24 Hours | Saturday: Sat: 24 Hours | Sunday: Sun: 24 Hours | Monday: Mon: 24 Hours
22239,Ampol Foodary Crows Nest,AMPOL,111-121-Falcon St,,Crows Nest,NSW,2065,-33.828703,151.206007,,True,4.05,11:0,Today: Mon: 24 Hours | Tomorrow: Tue: 24 Hours | Wednesday: Wed: 24 Hours | Thursday: Thu: 24 Hours | Friday: Fri: 24 Hours | Saturday: Sat: 24 Hours | Sunday: Sun: 24 Hours | Monday: Mon: 24 Hours
22135,Ampol Foodary Alexandria,AMPOL,133-Wyndham St Cnr Mcevoy St,,Alexandria,NSW,2015,-33.9021424,151.1994031,,True,4.24,11:0,Today: Mon: 24 Hours | Tomorrow: Tue: 24 Hours | Wednesday: Wed: 24 Hours | Thursday: Thu: 24 Hours | Friday: Fri: 24 Hours | Saturday: Sat: 24 Hours | Sunday: Sun: 24 Hours | Monday: Mon: 24 Hours
1318,Crows Nest,SUPERMARKETS,10 Falcon Street,,Crows Nest,NSW,2065,-33.827359,151.201462,(02) 8565 9336,False,4.26,11:0,Today: Mon: 0700-2300 | Tomorrow: Tue: 0700-2300 | Wednesday: Wed: 0700-2300 | Thursday: Thu: 0700-2300 | Friday: Fri: 0700-2300 | Saturday: Sat: 0700-2300 | Sunday: Sun: 0700-2300 | Monday: Mon: 0700-2300
8946,Alexandria (Metro),SUPERMARKETS,10 Fountain St,,Alexandria,NSW,2015,-33.902473,151.194661,(02) 8565 9353,False,4.4,11:0,Today: Mon: 0700-2200 | Tomorrow: Tue: 0700-2200 | Wednesday: Wed: 0700-2200 | Thursday: Thu: 0700-2200 | Friday: Fri: 0700-2200 | Saturday: Sat: 0700-2200 | Sunday: Sun: 0700-2200 | Monday: Mon: 0700-2200
1324,Erskineville (Metro),SUPERMARKETS,21-23 Erskineville Road,,Newtown,NSW,2042,-33.89853874,151.1818915,(02) 8565 9297,False,4.54,11:0,Today: Mon: 0700-2200 | Tomorrow: Tue: 0700-2200 | Wednesday: Wed: 0700-2200 | Thursday: Thu: 0700-2200 | Friday: Fri: 0700-2200 | Saturday: Sat: 0700-2200 | Sunday: Sun: 0800-2200 | Monday: Mon: 0700-2200
1638,Green Square (Metro),SUPERMARKETS,20 - 26 Ebsworth Street,,Zetland,NSW,2017,-33.905907,151.204171,(02) 8565 9365,False,4.58,11:0,Today: Mon: 0700-2330 | Tomorrow: Tue: 0700-2330 | Wednesday: Wed: 0700-2330 | Thursday: Thu: 0700-2330 | Friday: Fri: 0700-2330 | Saturday: Sat: 0700-2330 | Sunday: Sun: 0700-2330 | Monday: Mon: 0700-2330
1130,Park Sydney (Metro),SUPERMARKETS,"57 Ashmore Street, Erskineville Park",,Erskineville Park,NSW,2043,-33.9043323,151.1897337,(02) 8736 7479,False,4.76,11:0,Today: Mon: 0700-2300 | Tomorrow: Tue: 0700-2300 | Wednesday: Wed: 0700-2300 | Thursday: Thu: 0700-2300 | Friday: Fri: 0700-2300 | Saturday: Sat: 0700-2300 | Sunday: Sun: 0700-2300 | Monday: Mon: 0700-2300
1557,Bondi Junction,SUPERMARKETS,"Westfield Shopping Centre, 530 Oxford Street",,Bondi Junction,NSW,2022,-33.89170699,151.251574,(02) 8565 9239,False,4.85,11:0,Today: Mon: 0600-2200 | Tomorrow: Tue: 0600-2200 | Wednesday: Wed: 0600-2200 | Thursday: Thu: 0600-2200 | Friday: Fri: 0600-2200 | Saturday: Sat: 0700-2200 | Sunday: Sun: 0700-2200 | Monday: Mon: 0600-2200
22689,Ampol Foodary Woollahra,AMPOL,118-Old South Head Rd,,Woollahra,NSW,2025,-33.88961,151.255386,,False,5,11:0,Today: Mon: 0600-2200 | Tomorrow: Tue: 0600-2200 | Wednesday: Wed: 0600-2200 | Thursday: Thu: 0600-2200 | Friday: Fri: 0600-2200 | Saturday: Sat: 0600-2200 | Sunday: Sun: 0600-2200 | Monday: Mon: 0600-2200
22221,Ampol Foodary Randwick,AMPOL,2-Alison Rd,,Randwick,NSW,2031,-33.906566,151.232047,,False,5.05,11:0,Today: Mon: 0500-2359 | Tomorrow: Tue: 0500-2359 | Wednesday: Wed: 0500-2359 | Thursday: Thu: 0500-2359 | Friday: Fri: 0500-2359 | Saturday: Sat: 0500-2359 | Sunday: Sun: 0500-2359 | Monday: Mon: 0500-2359
8533,Mosman (Metro),SUPERMARKETS,731-741 Military Rd,,Mosman,NSW,2088,-33.82849,151.24375,(02) 9305 1039,False,5.12,11:0,Today: Mon: 0700-2200 | Tomorrow: Tue: 0700-2200 | Wednesday: Wed: 0700-2200 | Thursday: Thu: 0700-2200 | Friday: Fri: 0700-2200 | Saturday: Sat: 0700-2200 | Sunday: Sun: 0800-2200 | Monday: Mon: 0700-2200
1756,Rosebery Metro,SUPERMARKETS,"32 Confectioners way,  Rosebery",,Rosebery,NSW,2018,-33.91307,151.20731,(02) 8736 7453,False,5.35,11:0,Today: Mon: 0700-2300 | Tomorrow: Tue: 0700-2300 | Wednesday: Wed: 0700-2300 | Thursday: Thu: 0700-2300 | Friday: Fri: 0700-2300 | Saturday: Sat: 0700-2300 | Sunday: Sun: 0700-2300 | Monday: Mon: 0700-2300
1901,Rose Bay (Metro),SUPERMARKETS,757 New South Head Road,,Rose Bay,NSW,2029,-33.87072752,151.2684722,(02) 8565 9315,False,5.44,11:0,Today: Mon: 0700-2200 | Tomorrow: Tue: 0700-2200 | Wednesday: Wed: 0700-2200 | Thursday: Thu: 0700-2200 | Friday: Fri: 0700-2200 | Saturday: Sat: 0700-2200 | Sunday: Sun: 0700-2200 | Monday: Mon: 0700-2200
22316,Ampol Foodary Kensington,AMPOL,211-213-Anzac Parade,,Kensington,NSW,2033,-33.914806,151.225394,,False,5.72,11:0,Today: Mon: 0500-2359 | Tomorrow: Tue: 0500-2359 | Wednesday: Wed: 0500-2359 | Thursday: Thu: 0500-2359 | Friday: Fri: 0500-2359 | Saturday: Sat: 0500-2359 | Sunday: Sun: 0500-2359 | Monday: Mon: 0500-2359
22180,Ampol Foodary Bondi North,AMPOL,321-Old South Head Rd,,North Bondi,NSW,2026,-33.8846282,151.2685523,,True,5.83,11:0,Today: Mon: 24 Hours | Tomorrow: Tue: 24 Hours | Wednesday: Wed: 24 Hours | Thursday: Thu: 24 Hours | Friday: Fri: 24 Hours | Saturday: Sat: 24 Hours | Sunday: Sun: 24 Hours | Monday: Mon: 24 Hours
1066,Rose Bay - Direct to Boot Only,SUPERMARKETS,488 Old South Head Road,,Rose Bay,NSW,2029,-33.8748665,151.2723417,(02) 8736 7464,False,5.86,11:0,Today: Mon: 0800-2100 | Tomorrow: Tue: 0800-2100 | Wednesday: Wed: 0800-2100 | Thursday: Thu: 0800-2100 | Friday: Fri: 0800-2100 | Saturday: Sat: 0800-2100 | Sunday: Sun: 0800-2100 | Monday: Mon: 0800-2100
8385,Bondi Road (Metro),SUPERMARKETS,"137-147 Bondi Rd, Bondi NSW 2026",,Bondi Beach,NSW,2026,-33.89409,151.26305,(02) 9305 1010,False,5.87,11:0,Today: Mon: 0700-2300 | Tomorrow: Tue: 0700-2300 | Wednesday: Wed: 0700-2300 | Thursday: Thu: 0700-2300 | Friday: Fri: 0700-2300 | Saturday: Sat: 0700-2300 | Sunday: Sun: 0700-2300 | Monday: Mon: 0700-2300
1649,Marrickville Metro,SUPERMARKETS,"Marrickville Shopping Centre, 34 Victoria Road",,Marrickville,NSW,2204,-33.9072222,151.1711111,(02) 8565 9254,False,5.91,11:0,Today: Mon: 0700-2200 | Tomorrow: Tue: 0700-2200 | Wednesday: Wed: 0700-2200 | Thursday: Thu: 0700-2200 | Friday: Fri: 0700-2200 | Saturday: Sat: 0700-2200 | Sunday: Sun: 0700-2200 | Monday: Mon: 0700-2200
1647,Leichhardt Marketplace,SUPERMARKETS,"Leichhardt Market Place, 100/122-138 Flood Street",,Leichhardt,NSW,2040,-33.88483,151.149306,(02) 8565 9251,False,6.02,11:0,Today: Mon: 0700-2200 | Tomorrow: Tue: 0700-2200 | Wednesday: Wed: 0700-2200 | Thursday: Thu: 0700-2200 | Friday: Fri: 0700-2200 | Saturday: Sat: 0700-2200 | Sunday: Sun: 0700-2200 | Monday: Mon: 0700-2200
1199,Northbridge,SUPERMARKETS,79-113 Sailors Bay Road,,Northbridge,NSW,2063,-33.80963934,151.2090993,(02) 9308 7379,False,6.16,11:0,Today: Mon: 0700-2200 | Tomorrow: Tue: 0700-2200 | Wednesday: Wed: 0700-2200 | Thursday: Thu: 0700-2200 | Friday: Fri: 0700-2200 | Saturday: Sat: 0700-2200 | Sunday: Sun: 0700-2200 | Monday: Mon: 0700-2200
1631,Randwick Metro,SUPERMARKETS,73 Belmore Road,,Randwick,NSW,2031,-33.91488,151.24072,(02) 8565 9248,False,6.23,11:0,Today: Mon: 0700-2300 | Tomorrow: Tue: 0700-2300 | Wednesday: Wed: 0700-2300 | Thursday: Thu: 0700-2300 | Friday: Fri: 0700-2300 | Saturday: Sat: 0700-2300 | Sunday: Sun: 0700-2300 | Monday: Mon: 0700-2300
91642,Leichhardt,EG,774 Parramatta Road (Cnr Carrington Street),,Leichhardt,NSW,2049,-33.8903,151.148,02 8870 7653,True,6.38,11:0,Today: Mon: 24 Hours | Tomorrow: Tue: 24 Hours | Wednesday: Wed: 24 Hours | Thursday: Thu: 24 Hours | Friday: Fri: 24 Hours | Saturday: Sat: 24 Hours | Sunday: Sun: 24 Hours | Monday: Mon: 24 Hours
22374,Ampol Foodary Rosebery,AMPOL,321-Gardeners Rd,,Rosebery,NSW,2018,-33.922829,151.206234,,True,6.44,11:0,Today: Mon: 24 Hours | Tomorrow: Tue: 24 Hours | Wednesday: Wed: 24 Hours | Thursday: Thu: 24 Hours | Friday: Fri: 24 Hours | Saturday: Sat: 24 Hours | Sunday: Sun: 24 Hours | Monday: Mon: 24 Hours
8274,Eastlakes Metro,SUPERMARKETS,"The Grand Eastlakes, Shop 02, 16 Evans Avenue, Eastlakes, NSW, 2018",,Eastlakes,NSW,2018,-33.92467,151.21032,(02) 9308 7315,False,6.64,11:0,Today: Mon: 0700-2100 | Tomorrow: Tue: 0700-2100 | Wednesday: Wed: 0700-2100 | Thursday: Thu: 0700-2100 | Friday: Fri: 0700-2100 | Saturday: Sat: 0700-2100 | Sunday: Sun: 0700-2100 | Monday: Mon: 0700-2100
1545,Bondi Beach (Metro),SUPERMARKETS,184 Campbell Parade,,Bondi Beach,NSW,2026,-33.889324,151.275828,(02) 8565 9324,False,6.65,11:0,Today: Mon: 0600-0000 | Tomorrow: Tue: 0600-0000 | Wednesday: Wed: 0600-0000 | Thursday: Thu: 0600-0000 | Friday: Fri: 0600-0000 | Saturday: Sat: 0600-0000 | Sunday: Sun: 0600-0000 | Monday: Mon: 0600-0000
1798,Bronte Metro,SUPERMARKETS,113 Macpherson St,,Bronte,NSW,2024,-33.90629,151.26249,(02) 8736 7439,False,6.68,11:0,Today: Mon: 0700-2200 | Tomorrow: Tue: 0700-2200 | Wednesday: Wed: 0700-2200 | Thursday: Thu: 0700-2200 | Friday: Fri: 0700-2200 | Saturday: Sat: 0700-2200 | Sunday: Sun: 0700-2200 | Monday: Mon: 0700-2200
1103,Lane Cove,SUPERMARKETS,Cnr Longueville Road And Austin Street,,Lane Cove,NSW,2066,-33.81516537,151.1690647,(02) 9308 7364,False,6.71,11:0,Today: Mon: 0700-2200 | Tomorrow: Tue: 0700-2200 | Wednesday: Wed: 0700-2200 | Thursday: Thu: 0700-2200 | Friday: Fri: 0700-2200 | Saturday: Sat: 0700-2200 | Sunday: Sun: 0700-2200 | Monday: Mon: 0700-2200
1442,Mascot,SUPERMARKETS,55 Church Avenue,,Mascot,NSW,2020,-33.922926,151.185822,(02) 8565 9333,False,6.82,11:0,Today: Mon: 0700-2200 | Tomorrow: Tue: 0700-2200 | Wednesday: Wed: 0700-2200 | Thursday: Thu: 0700-2200 | Friday: Fri: 0700-2200 | Saturday: Sat: 0700-2200 | Sunday: Sun: 0700-2200 | Monday: Mon: 0700-2200
22399,Ampol Foodary Coogee,AMPOL,146-148-Coogee Bay Rd,,Coogee,NSW,2034,-33.9199406,151.2517628,,True,7.22,11:0,Today: Mon: 24 Hours | Tomorrow: Tue: 24 Hours | Wednesday: Wed: 24 Hours | Thursday: Thu: 24 Hours | Friday: Fri: 24 Hours | Saturday: Sat: 24 Hours | Sunday: Sun: 24 Hours | Monday: Mon: 24 Hours
1590,Illawarra Rd Metro,SUPERMARKETS,"258 Illawarra Rd, Marrickville",,Marrickville,NSW,2204,-33.91131,151.15512,(02) 8736 7458,False,7.22,11:0,Today: Mon: 0600-2300 | Tomorrow: Tue: 0600-2300 | Wednesday: Wed: 0600-2300 | Thursday: Thu: 0600-2300 | Friday: Fri: 0600-2300 | Saturday: Sat: 0700-2300 | Sunday: Sun: 0700-2300 | Monday: Mon: 0600-2300
1813,Ashfield North,SUPERMARKETS,202-242 Parramatta Road,,Ashfield,NSW,2131,-33.88073376,151.1321683,(02) 9305 1028,False,7.4,11:0,Today: Mon: 0700-2200 | Tomorrow: Tue: 0700-2200 | Wednesday: Wed: 0700-2200 | Thursday: Thu: 0700-2200 | Friday: Fri: 0700-2200 | Saturday: Sat: 0700-2200 | Sunday: Sun: 0700-2200 | Monday: Mon: 0700-2200
22529,Ampol Foodary Five Dock,AMPOL,Fairlight St Cnr Ramsay Rd,,Five Dock,NSW,2046,-33.869997,151.130092,,False,7.4,11:0,Today: Mon: 0500-2359 | Tomorrow: Tue: 0500-2359 | Wednesday: Wed: 0500-2359 | Thursday: Thu: 0500-2359 | Friday: Fri: 0500-2359 | Saturday: Sat: 0500-2359 | Sunday: Sun: 0500-2359 | Monday: Mon: 0500-2359
28895,Ampol Foodary Chatswood,AMPOL,572-Pacific Hwy,,Chatswood,NSW,2067,-33.803689,151.178937,,True,7.4,11:0,Today: Mon: 24 Hours | Tomorrow: Tue: 24 Hours | Wednesday: Wed: 24 Hours | Thursday: Thu: 24 Hours | Friday: Fri: 24 Hours | Saturday: Sat: 24 Hours | Sunday: Sun: 24 Hours | Monday: Mon: 24 Hours
1755,Coogee Metro,SUPERMARKETS,"Coogee Bay Village, 184-196 Coogee Bay Road",,Coogee,NSW,2034,-33.92049097,151.254401,(02) 8565 9257,False,7.41,11:0,Today: Mon: 0700-2300 | Tomorrow: Tue: 0700-2300 | Wednesday: Wed: 0700-2300 | Thursday: Thu: 0700-2300 | Friday: Fri: 0700-2300 | Saturday: Sat: 0700-2300 | Sunday: Sun: 0700-2300 | Monday: Mon: 0700-2300
28791,Ampol Foodary Lane Cove West,AMPOL,237-245-Burns Bay Rd,,Lane Cove West,NSW,2066,-33.816521,151.151386,,False,7.64,11:0,Today: Mon: 0500-2359 | Tomorrow: Tue: 0500-2359 | Wednesday: Wed: 0500-2359 | Thursday: Thu: 0500-2359 | Friday: Fri: 0500-2359 | Saturday: Sat: 0500-2359 | Sunday: Sun: 0500-2359 | Monday: Mon: 0500-2359
1149,Marrickville,SUPERMARKETS,463 Illawarra Road,,Marrickville,NSW,2204,-33.916516,151.150246,(02) 8565 9200,False,7.95,11:0,Today: Mon: 0700-2300 | Tomorrow: Tue: 0700-2300 | Wednesday: Wed: 0700-2300 | Thursday: Thu: 0700-2300 | Friday: Fri: 0700-2300 | Saturday: Sat: 0700-2100 | Sunday: Sun: 0700-2100 | Monday: Mon: 0700-2300
1166,Chatswood Rail Metro,SUPERMARKETS,Shop 55 Chatswood Rail Interchange,,Chatswood,NSW,2057,-33.797094,151.180894,(02) 8565 9350,False,8.02,11:0,Today: Mon: 0700-2300 | Tomorrow: Tue: 0700-2300 | Wednesday: Wed: 0700-2300 | Thursday: Thu: 0700-2300 | Friday: Fri: 0700-2300 | Saturday: Sat: 0700-2300 | Sunday: Sun: 0700-2300 | Monday: Mon: 0700-2300
28821,Ampol Foodary Kingsford,AMPOL,603-611-Anzac Pde Cnr Snape St,,Kingsford,NSW,2032,-33.934311,151.237128,,False,8.1,11:0,Today: Mon: 0500-2300 | Tomorrow: Tue: 0500-2300 | Wednesday: Wed: 0500-2300 | Thursday: Thu: 0500-2300 | Friday: Fri: 0500-2359 | Saturday: Sat: 0500-2359 | Sunday: Sun: 0500-2300 | Monday: Mon: 0500-2300
22729,Ampol Foodary Tempe,AMPOL,775-Princes Hwy,,Tempe,NSW,2044,-33.925131,151.159938,,True,8.13,11:0,Today: Mon: 24 Hours | Tomorrow: Tue: 24 Hours | Wednesday: Wed: 24 Hours | Thursday: Thu: 24 Hours | Friday: Fri: 24 Hours | Saturday: Sat: 24 Hours | Sunday: Sun: 24 Hours | Monday: Mon: 24 Hours
91936,Marrickville,EG,490 Illawarra Road (Cnr Hill Street),,Marrickville,NSW,2204,-33.9185,151.146,02 8870 7604,False,8.38,11:0,Today: Mon: 0600-2200 | Tomorrow: Tue: 0600-2200 | Wednesday: Wed: 0600-2200 | Thursday: Thu: 0600-2200 | Friday: Fri: 0600-2200 | Saturday: Sat: 0600-2200 | Sunday: Sun: 0600-2200 | Monday: Mon: 0600-2200
1213,Ashfield,SUPERMARKETS,260A Liverpool Road,,Ashfield,NSW,2131,-33.889379,151.124003,(02) 8565 9206,False,8.39,11:0,Today: Mon: 0700-2300 | Tomorrow: Tue: 0700-2300 | Wednesday: Wed: 0700-2300 | Thursday: Thu: 0700-2300 | Friday: Fri: 0700-2300 | Saturday: Sat: 0700-2200 | Sunday: Sun: 0700-2200 | Monday: Mon: 0700-2300
